Name,Mailing Street,City,State,Mailing Zip/Postal Code,"Number of Coats Needed"
Auburn Early Headstart,3009 Southridge Road West,Mobile,Alabama,36693,55
Phil Campbell Christmas,34 Jackson St,Phil Campbell,Alabama,35581,30
Westend Academy,1109 16th St SW,Birmingham,Alabama,35211,15
Mobile Community Closet,6810 Gold Kings Cir. Unit B,Anchorage,Alaska,99504,500
Wendler Middle School,2905 Lake Otis Parkway,Anchorage,Alaska,99508,100
Pan American Charter School,2100 W Indian School Rd,Phoenix,Arizona,85015,500
Gateway Early College High School,Gateway Early College High School 108 N. 40th Street MA 2319,Phoenix,Arizona,85034,30
Madrid Neighborhood School,3736 W. Osborn Rd,Phoenix,Arizona,85017,500
Hopi Day School,"100 Hopi Day School Drive, Kykotsmovi PO Box 42",Kykotsmovi Village,Arizona,86039,100
Bright Futures Berryville,714 County Road 439,Berryville,Arkansas,72616,75
Big Brothers Big Sisters of NWA,91 W. Colt Square Suite 1,Fayetteville,Arkansas,72703,100
Camino Nuevo Early Childhood Campus,661 S. Burlington Avenue,Los Angeles,California,90057,120
Jefferson Head Start,Jefferson Head Start 1040 Vicentia Ave,Corona,California,92882,60
rise 4 the people inc,55775 desert gold dr,yucca valley,California,92284,100
Hooper Primary Center,1280 East 52nd st.,Los angeles,California,90011,238
Santa Rosa deaf church,Po box 165,Windsor,California,95492,70
Liggett Elementary,9373 Moonbeam Ave.,Panorama City,California,91402,50
Oak Park Preschool Inc.,3500 2nd Avenue,Sacramento,California,95817,50
Kipp Academy of Opportunity,8500 S Figueroa St.,Los Angeles,California,90003,40
ST.Vincentian conference of The 103 Saints Korean Catholic center,2701 west 237th street ....The 103 saints Korean Catholic center Vincentian conference,Torrance,California,90505,100
Orosi High School,41815 Orosi High School,Orosi,California,93647,200
FRIENDS OF SOUTH DOS PALOS,21217 Reynolds Ave,Dos Palos,California,93620,36
Conestoga Public School,300 Conestoga Drive,"Brampton, Ontario",California,L6Z 1B7,451
California Friends that Help Friends,210 San Francisco Avenue,Pomona,California,91767,100
112th Street STEAM Academy School,1265 E. 112th Street,Los Angeles,California,90059,100
International Community School,2825 International Blvd,Oakland,California,94601,40
Balderas Elementary School,4625 E. Florence Ave.,Fresno,California,93725,693
ICEF View Park Preparatory Elementary and Middle School,"5311 S. Crenshaw Blvd,.",Los Angeles,California,90043,50
ESMS,7601 piper ave,Los Angeles,California,90045,50
Wesbow Methodist Church,112 W. 52nd St.,Los Angeles,California,90037,250
"Act's of Compassion, Inc.",23603 Catskill ave.,Carson,California,90745,150
County of Riverside,"1370 S State St., Ste. A",San Jacinto,California,92583,20
Martin Luther King Jr. Elementary School,960 10th St,Oakland,California,95607,173
Palm Vista Elementary School PTO,74350 Baseline Rd,Twentynine Palms,California,92277,250
Union Avenue Elementary School,150 South Burlington Ave.,Los Angeles,California,90057,40
Save the Children,KINGS CANYON JOINT UNIFIED,Fresno,California,93654,900
REACH Academy,9845 Bancroft Avenue,Oakland,California,94611,200
Fulton Academy of Excellence,755 Fulton St,Aurora,Colorado,80010,100
Ricardo Flores Magon Academy,5301 Lowell Blvd Denver,Denver,Colorado,80221,200
Families Against Violent Acts,5224 Sable St Same,Denver,Colorado,80239,30
DCIS at Ford,14500 Maxwell Place,Denver,Colorado,80239,200
Tollgate Elementary School,701 south Kalispell way,aurora,Colorado,80017,30
Strive Prep Montbello,Strive Prep Montbello Attn Elle Sypek 500,Denver,Colorado,80239,30
Denver Public Schools (FACE),1860 Lincoln Street,Denver,Colorado,80203,200
Denver Public Schools Family and Community Engagement,1860 Lincoln Street 8th Floor,Denver,Colorado,80203,100
Compass Academy,2285 S Federal Blvd,Denver,Colorado,80219,100
STRIVE PREP Westwood,3201 W arizona ave,Denver,Colorado,80219,30
Monaco Elementary,7631 Monaco St,Commerce City,Colorado,80022,300
Rocky Mountain Prep,10455 E 25th Ave.,Aurora,Colorado,80010-1207,500
Crawford Elementary School,1600 Florence St.,Aurora,Colorado,80010,250
Midland International Elementary,2110 Broadway Ave,Colorado Springs,Colorado,80904,50
Pikes Peak Park Baptist Church,3725 El Morro Rd,Colorado Springs,Colorado,80910,250
City Year Denver - AmeriCorps,2285 SOUTH FEDERAL BOULEVARD,DENVER,Colorado,80219,370
"Center for Work, Education and Employment","1175 Osage Street, Suite 300",denver,Colorado,80204,50
Rocky Mountain Prep Creekside,7808 south cherry creek drive 3- 300,denver,Colorado,80231,100
Grand View Elementary School,6601 Aggregate Blvd,frederick,Colorado,80516,20
Fort Logan Northgate,4000 s Lowell Blvd.,Denver,Colorado,80236,15
Denver Public Schools Homeless Education Network,1617 S Acoma St,Denver,Colorado,80223,300
Aurora Community School,3080 S Bahama St 15550 E 6th Ave,Aurora,Colorado,80013,100
Centennial School District R-1,909 Main St.,San Luis,Colorado,81152,130
Open Door Ministries,90 Yates st.,Denver,Colorado,80219,250
Denver Housing Authority,855 s irving st,Denver,Colorado,80219,100
Bishop Elementary,700 W Mansfield,Englewood,Colorado,80110,25
Florida Pitt Waller,21601 E 51st Pl,Denver,Colorado,80249,200
Ashley Elementary School,1914 Syracuse St,Denver,Colorado,80220,350
Paris Elementary Schools,1635 Paris St.,Aurora,Colorado,80010,50
Dr. Reginald Mayo Early Learning School Room 220,185 Goffe Street,New Haven,Connecticut,06511,100
LULAC Head Start,375 James Street,New Haven,Connecticut,06513,321
springdale Elementary School,1127 Hope Street,Stamford,Connecticut,06907,25
Luis Munoz Marrin School,479 Helen Street,Bridgeport,Connecticut,06608,30
HRA of New Britain,180 Clinton Street,New Britain,Connecticut,06053,30
Skane School,2977 Madison Avenue,Bridgeport,Connecticut,06606,40
Kinsella Magnet PTO,65 Van Block Avenue,Hartford,Connecticut,06106,25
John Winthrop Elementary School,85 Eckart street,Bridgeport,Connecticut,06606,100
Fair Haven School,164 Grand Ave.,New Haven,Connecticut,06513,800
Wilson-Gray YMCA,444 Albany Ave,Hartford,Connecticut,06120,300
Harry O. Eisenberg Elementary School,27 Landers Lane,New Castle,Delaware,19720,50
Wilmington Job corps,9 Vandever Ave.,Wilmington,Delaware,19802,300
Glorious Full Gospel Tabernacle Church,720A North Church Street,Wilmington,Delaware,19801,100
LAM @ The Resurrection Center,111 West 37th Street,Wilmington,Delaware,19802,35
Jefe Society,1122,Wilmington,Delaware,19801,450
Canaan Baptist Church,3011 NEW CASTLE AVENUE,NEW CASTLE,Delaware,19720,250
Castle Hills Elementary,502 Moores Lane Castle Hills Elementary School,New Castle,Delaware,19720,100
New Directions Early Head Start,321 S. College Ave,Newark,Delaware,19716,200
North Georgetown Elementary,664 North Bedford Street,Georgetown,Delaware,19947,75
Darley Road Elementary School,3401 Green Street,Claymont,Delaware,19701,50
R.C.C.G Faith Chapel,8 Creek lane,Wilmington,Delaware,19802,250
Gospel Temple Baptist Church,119 Covington Place,New Castle,Delaware,19720,100
Urban Promise Academy,1101 N. Market Street (Floor 3),Wilmington,Delaware,19801,30
New Light Church,1600 Desmond rd,Wilmington,Delaware,19805,50
"A Child's World, LLC",300 Bear Christiana Road,Bear,Delaware,19701,30
Georgetown Middle School,301 W Market Street,Georgetown,Delaware,19947,100
Milford high school Pay it Forward Program,102 Minner Street,Houston,Delaware,19954,60
Serviam Girls Academy,14 Halcyon Drive,New Castle,Delaware,19720,61
The Grow Place,2 Clinton Court Apt A,New Castle,Delaware,19720,50
Early Childhood Assistance program,701 W. 34th St.,Wilmington,Delaware,19802,16
MANNA ACADEMY,1200 N EAST BLVD,WILMINGTON,Delaware,19802,35
Out Reach Ministry,1207 Westlawn court Apt 3,Wilmington,Delaware,19809,80
Little Arrows Christian Academy,3000 north market street,Wilmington,Delaware,19802,40
Eastside Charter School,3000 N. Claymont St.,Wilmington,Delaware,19802,75
Glorious Church,720 N. Church St,Wilmington,Delaware,19801,200
UNITED Church,999 long point rd,Dover,Delaware,19904,125
Delmarva Clergy United in Social Action,13726 South Old State Rd.,Ellendale,Delaware,19941,400
Schuele (Jennifer) Household,610 W 25th Street,Wilmington,Delaware,19802,500
Boys Town Washington D.C.,4801 Sargent RD NE,Washington,District Of Columbia,20017,50
Washington Global PCS,525 school st sw,Washington,District Of Columbia,20024,30
Student working to achieve Goals llc,483 madison st ne,Washington,District Of Columbia,20011,100
Tubman Elementary School,3101 13th Street NW,Washington,District Of Columbia,20010,50
Bridges Public Charter School,"100 Gallatin Street, NE",Washington,District Of Columbia,20011,50
Achievement Prep Charter School,908 Wahler Place SE,Washington,District Of Columbia,20032,50
Eagle Academy Public Charter School,3400 Wheeler Road SE.,Washington,District Of Columbia,20032,80
Washington DC Firefighters,3002 12th St NE,Washington,District Of Columbia,20017,200
AppleTree @ Achievement Prep Academy,908 Wahler Place SE Middle School,Washington,District Of Columbia,20032,150
"Victory Christian Ministries International, DC", "3600 New York Avenue, NE",Washington,District Of Columbia,20002,36
National Children's Center (NCC),"3400 Martin Luther King Jr. Ave, SE",Washington,District Of Columbia,20031,178
Bridges Public Charter School,"100 Gallatin St., NE",Washington,District Of Columbia,20011,50
Harmony DC PCS,62 T ST NE,Washington,District Of Columbia,20002,120
E.L. Haynes Public Charter School,4501 Kansas Ave. NW,Washington,District Of Columbia,20011,30
"Community Vision, Inc.","1133 North Capitol Street, NE",Washington,District Of Columbia,20002-7549,500
Santa Rosa Adult School,5332 Berryhill Rd,Milton,Florida,32570,150
Palm Bay,1104 Balboa Avenue,Panama City,Florida,32401,100
90 Works,115 Gregory Sq,Pensacola,Florida,32502,100
Hyde Park Elementary,5300 Park St,Jacksonville,Florida,32205,40
Gather At Your Table Ministries,3827 Alva Thomas Road,Panama City,Florida,32404,50
Team Kareem Memorial Foundation,1080 Cypress Parkway,Kissimmee,Florida,34759,300
Covenant Homeless Family Shelter Inc.,1259 N Redland Rd. Ste 103,Florida City,Florida,33034,100
Little River,100 Caswell Drive,Orlando,Florida,32825,200
M&A Community Outreach Center inc,P. O. Box 2071,Pensacola,Florida,32513,15
Revelation And Deliverance Outreach Inc.,200 Davis CT SE Apt 5,Milledgeville,Georgia,31061,100
Atlanta Mission,2353 Bolton Road,Atlanta,Georgia,30318,200
Shadow Rock Elementary Schools,1040 KINGWAY DRIVE,LITHONIA,Georgia,30058,325
Cozy Kidz,4067 Coosa Drive,Bonaire,Georgia,31005,50
Mountainside SDA Church,3936 Rainbow Dr.,Decatur,Georgia,30034,50
Marion County Schools,1697 Pineville Road,Buena Vista,Georgia,31803,100
Futures Program-Pioneer Resa,5068 Gillsville Hwy,Gillsville,Georgia,30543,62
Success Center,2025 Lumpkin Road,Augusta,Georgia,30906,50
Dresden Elementary School,2449 Dresden Drive,Chamblee,Georgia,30341,500
Uawa Teen Outreach,7465 Davidson Pwky South,Stockbridge,Georgia,30281,4
Above the Rim Buford,5564 Little Mill Rd,BUFORD,Georgia,30518,20
Church Street Elementary,7013 Church Street,Riverdale,Georgia,30274,200
Freedom Riders,225 June Kemp rd,Aragon,Georgia,30104,200
KINGDOM OF NEW LIFE MINISTRIES INC.,603 east griffin ave.,ATTAPULGUS,Georgia,39815,2000
"Dare to eEmpower, Inc",520 Family Cir,Jonesboro,Georgia,30238,20
Cherokee Takedown Club,2235 Lower Burris Rd,Canton,Georgia,30114,100
EnRich,587 Cedar Ave NW,Atlanta,Georgia,30318,150
Byron Elementary School,202 new dunbar rd,Byron,Georgia,31008,50
PSP AmeriCorps VISTA,1100 Eisenhower Dr,Augusta,Georgia,30904,35
A Baby?s Helping Hand,1580 Peachtree St.NW,Atlanta,Georgia,30309,200
Cascade Elementary School,"2326 Venetian Drive,S.W.",Atlanta,Georgia,30311,200
Cup of Grace Ministries,PO Box 744,Spirit Lake,Idaho,83869,100
North Star Charter School,839 N Linder Rd,Eagle,Idaho,83616,20
Meat & Potatoes Catering,800 S. Pennsylvania Ave.,Fruitland,Idaho,83619,50
Hephzibah Children's Association,1144 Lake Street,Oak Park,Illinois,60301-1205,150
Girl Scouts of Englewood,Chicago Illinois 60619,Chicago,Illinois,60621,40
Esmond Elementary,650 East 85th Street,Chicago,Illinois,60619,250
Lighthouse of Hope Church,45 Sheffield Dr,Belleville,Illinois,62223,150
George W. Tilton PAC,223 N. Keeler,CHICAGO,Illinois,60624,300
Valued Life Community Development Center Title 1,18630 Villa Court,Lansing,Illinois,60438,25
Madison Early Childhood Education Center,130 W. Madison St,Elmhurst,Illinois,60126,80
We R Englewood,6636 S. Yale,Chicago,Illinois,60621,1000
Options for Youth,6508 S. Ashland Ave,Riverdale,Illinois,60636,200
Hopeful Presence Inc,9640 S Bishop St,Chicago,Illinois,60643-1312,220
Haymarket Treatment Center,120 N. SANGAMON St.,CHICAGO,Illinois,60607,150
District 88 Birth To Three Program,3519 Wilcox Street,Bellwood,Illinois,60104,325
Tilton STEM Elementary School,223 North Keeler Street,CHICAGO,Illinois,60624,300
Englewood Quality of Life Plan Youth and Education Taskforce,815 W 63rd,Chicago,Illinois,60621,300
Aunt Martha's Health and Wellness,"4415 Harrison Street, Suite 201",Hillside,Illinois,60162,250
West Park Academy (CPS),West Park Academy,Chicago,Illinois,60651,530
PLCCA,1100 Madison Street,Maywood,Illinois,60438,180
Nee-Ah Chapter #875 Order of the Easter Star,7123 S. Woodlawn Ave,Chicago,Illinois,60619,400
Nicholson STEM Academy,6006 S. Peoria,Chicago,Illinois,60621,100
New Direction grace church,8122 S Avalon,CHICAGO,Illinois,60619,15
Ortiz se DOminuguez school,3000 S.Lawndale,Chicago,Illinois,60623,700
Green Bay Early Childhood Center,2100 Green Bay Rd,North Chicago,Illinois,60064,50
Annie P Huey Missionary Society of Carey Tercentenary AME Church,1448 S. Homan Ave 3642 W. Lexington,Chicago,Illinois,60623,75
Garfield Park Community Council,4423 W Fulton 4215 W Washington,Chicago,Illinois,60624,100
Project Exploration,5044 W Harrison Ave,Chicago,Illinois,60644,75
The Rise Foundation,9730 S. Oakley Ave.,Chicago,Illinois,60643,100
Earle STEM Academy,2040 W 62nd St,Chicago,Illinois,60636,75
Charity Chapter 313,3939 s lake park ave apt 503,Chicago,Illinois,60653,40
Fieldcrest Elementary School,4100 Wagman,Oak Forest,Illinois,60452,50
Franciscan Outreach,10 S. Kedzie Avenue,Chicago,Illinois,60612,75
Pass With Flying Colors,4300 N Knox,Chicago,Illinois,60641,18
Grace Apostolic Faith Church,Grace Apostolic Faith Church 8257 S Exchange,Chicago,Illinois,60617,100
Family Service Agency,1325 Sycamore Road,DeKalb,Illinois,60115,20
By The Hand Club for Kids,1000 Sedgwick,Chicago,Illinois,60610,1500
A Child?s Place Academy,1508 e 63rd Street,Chicago,Illinois,60637,50
Peck Elementary School,3826 W. 58th Street,Chicago,Illinois,60629,100
Saint Anthony Hospital Community Wellness Program,2875 W 19th Street,Chicago,Illinois,60623,150
Hyde Park Community Action Council (CAC),1700 E. 56th St.,Chicago,Illinois,60537,400
Sheerah Grand Chapter,9654 S. Indiana Avenue,Chicago,Illinois,60628,400
Above and Beyond Family Recovery Center,2942 West Lake Street,Chicago,Illinois,60612,200
Townsend Music Ministries,10620 S. Lowe Ave,Chicago,Illinois,60628,100
Nurturing Neighborhoods Inc.,4648 West Monroe Street,Chicago,Illinois,60644,126
SPEED DIST 802,1125 Division Street 169 Country Club Road,Chicago heights,Illinois,60411,14
New omega m.b.church,17308 burr oak lane Miss tabitha moore,Hazel crest,Illinois,60429,100
Bond Elementary School,7050 S. May St.,Chicago,Illinois,60621,280
Heirs of the Promise Church,4821 W Chicago Ave,Chicago,Illinois,60651,51
Ignite,3745 S Indiana Ave ATTN Yakima Diemer,Chicago,Illinois,60653,28
A Safe Place,2710 17th St,Zion,Illinois,60099,100
Henry Booth House,2907 S. Wabash Suite 200,Chicago,Illinois,60616,746
Edison Jr. High School,4141 9th St,Rock Island,Illinois,61201,20
Park Manor School,7037 so Rhodes,chicago,Illinois,60637,300
C.I. Johnson Elementary School,1934 Liberty St,Aurora,Illinois,60505,100
YMCA Childrens Learning Center,2918 Glenwood Ave,Rockford,Illinois,61101,80
Round Lake Area Public Library,906 Hart Rd,Round Lake,Illinois,60073,500
The Michael Gray Foundation of Dreams,2800 W. Roosevelt Road The Michael Gray Foundation of Dreams,Chicago,Illinois,60624,75
Wings Program Inc.,5104 Tollview Dr Suite B,Rolling Meadows,Illinois,60008,100
Life Giving Ministries Church,7020 S Racine,Chicago,Illinois,60636,200
Columbia College,2128 s. St. Louis,Chicago,Illinois,60623,300
SGA Youth and Family Services,3054 W Cermak,Chicago,Illinois,60623,96
No Limit Legacy,3403 S. Manor Dr.,Lansing,Illinois,60438,100
Fellowship Housing,2200 W Higgins Rd Suite 130,Hoffman Estates,Illinois,60169,45
Warren Family Foundation,5415 S Union Ave,Chicago,Illinois,60609,300
Calmeca Academy,3456 W. 38th Street,Chicago,Illinois,60632,75
Lexington School District,100 E Wall St,Lexington,Illinois,61753,100
Metropolitan Family Services,222 East Willow Avenue,Wheaton,Illinois,60187,100
SGA Youth and Family Services,11 e adams st suite 1500,Chicago,Illinois,60601,30
Siblings On A Move,5006 W. Ohio,Chicago,Illinois,60644,100
Two Rivers Head Start,180 Lake Marian Rd,Carpentersville,Illinois,60110,74
Nurturing Developmental Learning Academy-Calumet City,525 Wentworth Ave,Calumet City,Illinois,60409,125
Dongola Head Start,1001 High Street,Dongola,Illinois,62926,20
Willa Cather Elementary,Willa Cather Parent Advisory Council 2908 W. Washington Blvd,Chicago,Illinois,60612,175
Illinois Ability Sports,329 North Pearl Street,Havana,Illinois,62644,300
Riley Elementary School,1008 Upper 11th St.,Vincennes,Indiana,47591,252
pilotED Schools,2710 Bethel Ave,Indianapolis,Indiana,46203,100
Nineisfine,1310 s Washington St,Marion,Indiana,46953,10
Christian Park Elementary,4700 English Avenue,Indianapolis,Indiana,46201,20
Rosa Parks Elementary,7525 Wellingshire Blvd,Indianapolis,Indiana,46217,20
Rosa Parks Kindergarten Academy,7525 Wellingshire Blvd.,Indianapolis,Indiana,46217,50
Early Learning Centers Of Lawrence Township,6501 Sunnyside Road,Indianapolis,Indiana,46236,75
Jeremiah Gray Elementary,5225 Gray Road,Indianapolis,Indiana,46237,15
Southport High School,971 E Banta Road,Indianapolis,Indiana,46227,40
Southport Middle School and 6th Grade Academy,5715 S Keystone Ave,Indianapolis,Indiana,46227,30
Thea Bowman Leadership Academy,3401 west 5th ave,gary,Indiana,46402,500
Options charter School,9945 Cumberland Pointe Blvd,Noblesville,Indiana,46060,90
Allegiant Prep Academy,3125 Concord Court Suite B,Indianapolis,Indiana,46222,80
Indiana Math and Science Academy WEST,4575 W. 38th street,Indianapolis,Indiana,46254,200
Head Start Family and Development Services,3637 North Meridian St.,Indianapolis,Indiana,46208,120
Westlane Middle School,1301 West 73rd Street,Indianapolis,Indiana,46260,100
Wayne Township Trustee/ Wayne Township Firefighters,700 N High School Road,Indianapolis,Indiana,46241,100
Indiana School for the Deaf,1200 E. 42nd St.,Indianapolis,Indiana,46205,100
Grace Church (in Des Moines IA),4200 E 25th St.,Des Moines,Iowa,50317,150
MICA Head Start,230 SE 16th Street,Ames,Iowa,50010,36
Iowa Homeless Youth Centers,612 Locust Ave,Des Moines,Iowa,50309,75
Oak Park Elementary,3928 6th Ave,Des Moines,Iowa,50313,370
Lovejoy Elementary School,801 E. Kenyon Ave.,Des Moines,Iowa,50315,40
Kansas City Kansas Trinity Head Start,1708 N 55th,Kansas City,Kansas,66102,200
Irving Elementary,1642 N Market,Wichita,Kansas,67214,420
Maranatha Worship Center,888 south webb rd.,wichita,Kansas,67208,500
Lindbergh Elementary school,641 N 57th Street,Kansas city,Kansas,66102,50
1:1,8700 GROUSE CIRCLE,MANHATTAN,Kansas,66502,50
Lawrence Community Shelter,3655 E. 25th,Lawrence,Kansas,66046,50
KSSB Headstart,Headstart c/o Kansas School for the Blind 1100 Stave Ave.,Kansas City,Kansas,66102,150
Childhood Cancer Family Fund,300 Chertsey Court,Louisville,Kentucky,40243,250
SmileFaith Foundation Community Center,9599 Hwy 805,Jenkins,Kentucky,41537,100
SHARE Center Lexington,1029 Kiawah Drive,Lexington,Kentucky,40515,250
Owsley County Schools,372 Kentucky 28,Booneville,Kentucky,41301,350
WestCare,10057 Ashcamp road,Elkhorn city,Kentucky,41522,125
Chain of Love Disaster Relief,644 Adams Road,Pikeville,Kentucky,41501,200
Mountain Haven Emergency Shelter and Mountain Comprehensive Transitional Living Program,1034 East Main Street Level 2,Morehead,Kentucky,40351,100
Strengthening Transformations Inc.,820 Martin Luther King Jr Ct,Versailles,Kentucky,40383,300
Valley of Hope Center for Kidz,2936 Greenwood Road,Shreveport,Louisiana,71109,100
Valencia Patterson,6347 Cedar Grove Drive,Baton Rouge,Louisiana,70812,100
Garyville magnet school,240 hwy 54,Garyville,Louisiana,70051,60
Hazel Park Elementary,8809 Jefferson Highway,River Ridge,Louisiana,70123,20
Fairy Godmother Program,3213 Mackey Lane,Shreveport,Louisiana,71118,800
